Binned_average_and_predicted_H2O_spectra_sorted_by_RH-class.
,RH=0.1,,,,RH=0.2,,,,RH=0.3,,,,RH=0.4,,,,RH=0.5,,,,RH=0.6,,,,RH=0.7,,,,RH=0.8,,,,RH=0.9
,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,,n_=_0,,,
0.153809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.110323,0.104562,0.00000,0.107632,0.103241,0.863061E-01,0.00000,0.920049E-01,0.927293E-01,0.657937E-01,0.00000,0.684124E-01,0.934793E-01,0.427022E-01,0.00000,0.402823E-01,0.967617E-01,0.203530E-01,0.00000,0.192653E-01,NaN,NaN,NaN,NaN
0.178711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.991749E-01,0.853371E-01,0.00000,0.923999E-01,0.990140E-01,0.794669E-01,0.00000,0.833421E-01,0.872802E-01,0.594686E-01,0.00000,0.568833E-01,0.857424E-01,0.332124E-01,0.00000,0.302268E-01,0.928145E-01,0.156098E-01,0.00000,0.142920E-01,NaN,NaN,NaN,NaN
0.207520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.999193E-01,0.791256E-01,0.00000,0.877830E-01,0.870883E-01,0.630041E-01,0.00000,0.682179E-01,0.808097E-01,0.469812E-01,0.00000,0.455314E-01,0.828795E-01,0.267560E-01,0.00000,0.234783E-01,0.850583E-01,0.113913E-01,0.00000,0.100405E-01,NaN,NaN,NaN,NaN
0.241211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.903924E-01,0.693717E-01,0.00000,0.737010E-01,0.776241E-01,0.535839E-01,0.00000,0.555661E-01,0.715937E-01,0.360438E-01,0.00000,0.340680E-01,0.832109E-01,0.201916E-01,0.00000,0.186062E-01,0.776323E-01,0.753293E-02,0.00000,0.695739E-02,NaN,NaN,NaN,NaN
0.280273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.823201E-01,0.606557E-01,0.00000,0.611889E-01,0.745921E-01,0.478932E-01,0.00000,0.478422E-01,0.695114E-01,0.288342E-01,0.00000,0.273488E-01,0.716707E-01,0.138870E-01,0.00000,0.124826E-01,0.743953E-01,0.501777E-02,0.00000,0.503409E-02,NaN,NaN,NaN,NaN
0.325684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.732094E-01,0.477309E-01,0.00000,0.486145E-01,0.658563E-01,0.372611E-01,0.00000,0.370358E-01,0.627292E-01,0.219219E-01,0.00000,0.200012E-01,0.696537E-01,0.104461E-01,0.00000,0.934135E-02,0.646904E-01,0.315603E-02,0.00000,0.328904E-02,NaN,NaN,NaN,NaN
0.378418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.699903E-01,0.410619E-01,0.00000,0.406309E-01,0.636101E-01,0.316979E-01,0.00000,0.306738E-01,0.617529E-01,0.170569E-01,0.00000,0.156789E-01,0.644481E-01,0.731018E-02,0.00000,0.659626E-02,0.595055E-01,0.194833E-02,0.00000,0.226541E-02,NaN,NaN,NaN,NaN
0.439453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.692911E-01,0.353227E-01,0.00000,0.344067E-01,0.575339E-01,0.249902E-01,0.00000,0.232823E-01,0.543248E-01,0.123542E-01,0.00000,0.108276E-01,0.605818E-01,0.458358E-02,0.00000,0.470309E-02,0.570495E-01,0.120824E-02,0.00000,0.162357E-02,NaN,NaN,NaN,NaN
0.510742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.657942E-01,0.286895E-01,0.00000,0.273099E-01,0.568665E-01,0.199966E-01,0.00000,0.188901E-01,0.525391E-01,0.923691E-02,0.00000,0.810664E-02,0.601904E-01,0.326375E-02,0.00000,0.351935E-02,0.562147E-01,0.737038E-03,0.00000,0.119159E-02,NaN,NaN,NaN,NaN
0.593750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.635909E-01,0.225458E-01,0.00000,0.215989E-01,0.539689E-01,0.158653E-01,0.00000,0.144293E-01,0.507779E-01,0.679142E-02,0.00000,0.600063E-02,0.566503E-01,0.205300E-02,0.00000,0.248290E-02,0.554752E-01,0.538465E-03,0.00000,0.874048E-03,NaN,NaN,NaN,NaN
0.689453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.592218E-01,0.180183E-01,0.00000,0.161773E-01,0.525904E-01,0.125710E-01,0.00000,0.111472E-01,0.519587E-01,0.492769E-02,0.00000,0.467432E-02,0.543760E-01,0.129571E-02,0.00000,0.178461E-02,0.538711E-01,0.357489E-03,0.00000,0.631596E-03,NaN,NaN,NaN,NaN
0.800781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.588852E-01,0.153182E-01,0.00000,0.127211E-01,0.546617E-01,0.105206E-01,0.00000,0.905216E-02,0.547175E-01,0.375765E-02,0.00000,0.372210E-02,0.587100E-01,0.923035E-03,0.00000,0.143868E-02,0.535545E-01,0.259098E-03,0.00000,0.466595E-03,NaN,NaN,NaN,NaN
